"monthly_salary","fico","utilization","card_limit","card_interest_rate","model_output","model_target"
"84742","693","10.66%","13318","10.00%","0.6420","0"
"119176","871","8.36%","9347","7.25%","0.6451","1"
"136566","757","12.99%","35833","2.97%","0.6680","0"
"162008","657","3.29%","25424","6.94%","0.2024","0"
"127163","635","9.39%","39165","10.97%","0.4466","0"
"75767","878","2.62%","34041","8.81%","0.0320","0"
"59024","622","5.77%","5033","3.67%","0.1327","0"
"130286","809","14.13%","31260","3.48%","0.2470","0"
"52716","775","14.07%","30322","11.28%","0.5116","0"
"133128","622","13.43%","35298","11.01%","0.9894","1"
"47485","682","11.80%","18290","4.81%","0.7907","0"
"131757","876","12.34%","22672","8.48%","0.9171","0"
"169268","689","14.54%","28352","8.58%","0.9094","1"
"65502","802","11.63%","19999","9.71%","0.0519","0"
"182329","885","5.88%","23135","9.57%","0.3663","0"
"195794","809","11.40%","38518","3.12%","0.3604","0"
"39083","617","13.43%","47933","7.00%","0.3075","0"
"158154","622","6.91%","49084","5.96%","0.4775","0"
"67500","609","2.11%","45274","2.70%","0.0324","0"
"101917","658","12.39%","26889","8.59%","0.6231","1"
"103680","835","3.04%","19209","7.06%","0.2120","0"
"130045","631","0.08%","11723","11.13%","0.3478","0"
"51533","875","13.20%","43509","11.53%","0.6691","1"
"162291","677","4.56%","18895","2.83%","0.8866","1"
"117148","870","1.80%","24720","3.26%","0.1391","0"
"82576","669","1.37%","49846","2.37%","0.7188","0"
"168734","710","11.11%","37353","7.36%","0.7270","0"
"157381","680","12.23%","7798","7.59%","0.3328","0"
"157582","692","12.80%","30104","2.67%","0.9291","0"
"184349","771","4.73%","27102","4.74%","0.0680","0"
"60917","727","4.38%","5363","7.48%","0.8567","1"
"81705","681","13.34%","23124","10.07%","0.4390","0"
"136127","649","13.29%","36479","4.31%","0.3189","0"
"173606","678","8.00%","39935","8.41%","0.2164","0"
"180421","817","10.54%","33531","11.49%","0.5058","0"
"67539","864","15.41%","38597","9.43%","0.2095","0"
"171449","739","1.17%","27458","2.96%","0.3185","0"
"147627","615","10.79%","24619","2.09%","0.6275","1"
"148921","731","11.16%","38188","2.52%","0.7564","1"
"166218","752","2.50%","22213","10.06%","0.8327","1"
"154198","782","13.59%","5256","3.20%","0.9006","0"
"131849","852","6.43%","8022","6.57%","0.4836","0"
"23759","869","16.49%","46974","3.64%","0.7791","1"
"89474","819","11.77%","16295","10.37%","0.5237","1"
"151221","899","9.49%","28245","8.83%","0.0020","0"
"121031","882","10.48%","26357","5.61%","0.2254","0"
"14178","883","1.82%","14380","11.73%","0.4125","0"
"56945","663","10.20%","20135","7.67%","0.8563","1"
"122873","867","5.99%","6601","10.62%","0.8641","0"
"30149","653","3.87%","5376","4.85%","0.2994","0"
"183921","882","9.60%","35276","6.66%","0.5425","0"
"100598","735","4.74%","42702","7.54%","0.7190","0"
"98895","798","11.72%","28432","10.58%","0.2937","0"
"164091","770","12.66%","7318","3.32%","0.7077","1"
"124218","723","6.19%","40567","11.27%","0.1517","0"
"32439","826","15.84%","17944","8.56%","0.1408","0"
"28755","898","7.50%","35819","3.94%","0.5101","0"
"192507","666","16.28%","24390","6.24%","0.5769","1"
"122113","661","6.45%","38901","8.67%","0.1386","0"
"18349","681","7.65%","30423","11.46%","0.6224","1"
"161342","707","3.72%","38816","11.23%","0.8671","1"
"169415","687","4.53%","30742","2.26%","0.3717","0"
"103511","659","0.47%","11860","6.82%","0.2606","0"
"108360","792","16.05%","19334","5.01%","0.2827","0"
"36241","795","4.19%","15293","11.34%","0.8839","1"
"156308","698","7.75%","29688","3.01%","0.5666","1"
"168158","776","0.38%","12631","6.89%","0.8519","0"
"142064","825","13.54%","34548","9.76%","0.0842","0"
"94648","812","11.09%","25908","3.23%","0.7014","0"
"192642","603","4.02%","40395","8.21%","0.5606","1"
"65049","874","5.55%","9540","11.01%","0.2801","0"
"57192","722","15.32%","8907","4.71%","0.6348","1"
"32211","623","15.26%","26178","8.19%","0.2928","0"
"138618","741","12.44%","8395","4.40%","0.3669","0"
"131487","640","11.01%","11158","7.18%","0.4663","0"
"99633","681","13.34%","31888","11.20%","0.5836","1"
"128798","681","13.92%","16816","6.91%","0.4990","0"
"122139","729","12.30%","37032","11.79%","0.1468","0"
"47127","653","6.83%","48899","3.87%","0.1705","0"
"194386","654","8.18%","25681","3.13%","0.4219","0"
"111274","719","16.66%","39004","5.39%","0.2346","0"
"114780","713","0.28%","7407","9.14%","0.9660","1"
"76006","787","2.28%","6176","4.58%","0.1637","0"
"69081","659","8.34%","40929","2.21%","0.5833","0"
"44989","634","7.88%","8272","11.81%","0.0166","0"
"90427","734","13.45%","27485","3.30%","0.2495","0"
"174509","728","7.36%","35222","3.01%","0.8516","0"
"164765","892","1.23%","15587","2.70%","0.0940","0"
"167606","743","12.13%","48993","11.93%","0.3031","0"
"25052","649","2.42%","46728","6.53%","0.2853","0"
"11739","835","16.51%","18580","2.88%","0.3936","0"
"12659","854","0.49%","46897","10.07%","0.6699","1"
"165396","719","8.38%","6260","4.14%","0.9993","1"
"36842","746","5.53%","46093","11.62%","0.7856","0"
"30665","774","14.08%","32183","2.54%","0.8704","0"
"40587","876","10.18%","13003","4.37%","0.0750","0"
"36961","627","10.80%","48156","6.41%","0.8867","0"
"112529","696","16.05%","34222","2.40%","0.9502","0"
"53702","662","9.49%","45648","3.29%","0.5907","0"
"118586","798","14.52%","17563","9.92%","0.7648","1"
"22676","650","8.93%","38897","6.63%","0.6609","1"
"108412","808","1.88%","19419","4.40%","0.7020","0"
"145259","828","10.70%","13085","2.32%","0.2021","0"
"110125","625","5.11%","42567","9.77%","0.3192","0"
"159881","795","7.60%","42449","4.67%","0.7280","1"
"63095","640","12.78%","43357","8.68%","0.7575","1"
"175909","664","9.01%","39306","5.34%","0.8718","1"
"183050","698","10.60%","36703","4.76%","0.9402","0"
"24033","785","8.76%","41501","8.96%","0.9005","1"
"23440","651","11.92%","21477","9.84%","0.9855","0"
"188547","716","8.50%","31744","11.78%","0.4367","0"
"153116","775","14.32%","43805","4.64%","0.3336","0"
"124680","859","0.39%","18549","3.38%","0.6583","0"
"35654","886","11.98%","21770","7.91%","0.0648","0"
"65975","632","6.79%","22851","5.19%","0.0889","0"
"82587","793","16.37%","8331","10.57%","0.6261","0"
"72133","703","12.42%","19031","9.96%","0.6978","0"
"129808","862","15.19%","37906","2.43%","0.7991","1"
"101894","702","3.82%","5947","4.74%","0.8563","0"
"186972","601","1.41%","42338","6.68%","0.5780","0"
"96254","626","15.42%","46056","11.68%","0.0760","0"
"68354","835","1.57%","34737","6.52%","0.5735","1"
"13215","803","14.66%","39736","9.29%","0.8686","1"
"114460","707","12.17%","16139","10.81%","0.2431","0"
"172689","759","8.24%","47313","4.94%","0.3780","0"
"97454","806","12.91%","33816","7.77%","0.3420","0"
"181073","900","8.29%","27784","4.39%","0.1559","0"
"155103","758","1.23%","37689","3.48%","0.4019","0"
"114255","695","16.50%","37159","5.69%","0.9834","1"
"94088","657","9.26%","43882","3.07%","0.2275","0"
"10679","850","3.18%","44282","3.61%","0.5162","1"
"30138","720","6.67%","48737","7.31%","0.5460","0"
"126003","895","3.17%","45721","4.18%","0.6879","0"
"162058","859","12.50%","6258","3.99%","0.2808","0"
"166525","703","5.66%","11277","10.15%","0.8131","1"
"66217","645","4.07%","33959","8.66%","0.9288","0"
"81714","868","11.07%","47079","3.11%","0.6499","1"
"185975","750","15.13%","32701","10.35%","0.2013","0"
"189065","827","11.98%","35439","11.55%","0.9132","1"
"194520","631","11.51%","17638","6.90%","0.2137","0"
"197293","736","12.69%","30264","11.02%","0.8739","0"
"194395","857","4.44%","28517","9.79%","0.8498","0"
"102266","741","9.73%","19098","10.28%","0.3589","0"
"50983","877","15.50%","20888","7.02%","0.5478","1"
"82631","761","3.71%","29831","7.58%","0.2160","0"
"131088","808","0.34%","41741","2.53%","0.1996","0"
"47911","886","8.26%","25948","5.54%","0.7879","1"
"180987","722","10.82%","16103","5.72%","0.4705","0"
"148076","827","8.36%","37235","10.61%","0.2049","0"
"87370","656","11.63%","34688","11.67%","0.9678","0"
"72621","648","2.06%","11337","7.10%","0.0545","0"
"39898","635","6.41%","39084","11.62%","0.9235","1"
"144627","680","1.90%","45115","5.05%","0.8065","1"
"138163","785","14.18%","47512","11.17%","0.5408","0"
"77036","609","7.77%","35520","10.49%","0.9875","1"
"39940","635","8.91%","13242","5.66%","0.7739","0"
"138455","744","13.11%","43842","2.60%","0.6296","1"
"60209","879","12.58%","49258","5.37%","0.9699","0"
"153455","708","15.71%","20563","3.64%","0.7282","1"
"143748","817","5.32%","24413","8.75%","0.6826","0"
"130168","659","16.21%","33371","6.99%","0.9686","1"
"162529","686","12.92%","35465","6.52%","0.7481","0"
"98618","658","9.73%","37904","9.23%","0.6301","1"
"25899","816","10.51%","34026","9.79%","0.8537","0"
"27573","730","5.48%","43525","4.05%","0.5113","0"
"96815","865","10.17%","47625","9.07%","0.8001","0"
"62089","822","1.99%","13665","3.65%","0.7757","0"
"15517","812","6.06%","37855","8.72%","0.1895","0"
"107462","726","1.43%","42321","7.43%","0.5002","1"
"129007","735","10.92%","43611","2.60%","0.6192","0"
"107867","805","1.61%","27942","2.96%","0.2667","0"
"125812","696","8.55%","42100","6.18%","0.6379","0"
"107068","616","14.39%","39852","10.71%","0.6298","0"
"62769","778","5.52%","39784","8.34%","0.7646","0"
"127590","800","4.92%","17221","8.77%","0.5779","1"
"80121","867","1.27%","13311","3.20%","0.0696","0"
"79546","711","5.75%","44527","3.87%","0.9867","1"
"151014","817","5.62%","9627","7.73%","0.9993","0"
"127710","812","10.32%","25991","11.85%","0.4310","0"
"18672","812","8.64%","13541","2.12%","0.8513","0"
"79813","726","7.34%","49194","7.92%","0.8943","1"
"192973","828","7.19%","35617","5.53%","0.1916","0"
"120588","675","5.19%","14371","9.60%","0.8398","0"
"155818","737","6.36%","12158","2.37%","0.3905","0"
"87637","718","16.27%","26779","3.95%","0.6118","1"
"81613","869","8.81%","30523","3.89%","0.7281","0"
"10424","774","13.96%","28308","3.88%","0.2064","0"
"144075","784","7.15%","25955","3.04%","0.3200","0"
"173769","783","12.07%","33590","4.42%","0.4556","0"
"169426","798","10.27%","11511","8.37%","0.5970","1"
"129323","704","0.11%","32439","9.82%","0.6059","0"
"158679","708","9.31%","49547","7.38%","0.6623","1"
"42299","743","9.57%","8365","2.89%","0.0578","0"
"59772","677","3.90%","35191","11.62%","0.4846","0"
"166647","626","15.83%","13281","2.10%","0.6894","1"
"44816","798","10.33%","18552","3.12%","0.2692","0"
"158228","770","16.00%","11488","5.12%","0.1620","0"
"186130","795","0.44%","9254","5.64%","0.2015","0"
"116098","781","6.38%","41786","4.87%","0.9533","0"
"28980","656","2.88%","8738","6.47%","0.0659","0"
"13476","681","3.89%","16510","8.79%","0.5636","0"
"152535","624","3.37%","41449","8.84%","0.5022","0"
"69677","703","2.93%","34600","3.23%","0.4776","0"
"76169","781","2.91%","15116","6.99%","0.1475","0"
"57275","810","8.78%","20281","11.36%","0.5482","0"
"35608","882","9.24%","14415","9.69%","0.8988","0"
"155806","894","10.33%","17648","9.25%","0.6193","1"
"55880","680","9.42%","35978","5.18%","0.5705","0"
"47953","876","13.44%","13549","5.51%","0.4555","0"
"91381","757","1.15%","20371","5.23%","0.3765","0"
"170533","785","15.96%","38738","2.94%","0.5615","1"
"81929","837","12.01%","37979","4.38%","0.7648","1"
"132759","842","3.73%","20813","9.50%","0.7997","0"
"89041","618","0.87%","37664","8.45%","0.0215","0"
"175725","698","11.00%","32926","9.29%","0.0652","0"
"164256","608","13.13%","19682","4.10%","0.8495","0"
"150290","696","9.65%","6630","5.38%","0.7179","0"
"148511","788","2.30%","22028","5.71%","0.4387","0"
"176651","868","11.20%","45370","5.68%","0.2495","0"
"84872","900","16.59%","32425","2.23%","0.7770","1"
"36584","661","11.89%","25290","11.44%","0.3833","0"
"109491","854","8.10%","23741","2.03%","0.5027","1"
"153248","889","5.54%","36176","10.08%","0.7319","1"
"195050","879","1.85%","8965","9.54%","0.1559","0"
"160791","850","14.80%","41998","6.54%","0.4196","0"
"66273","671","16.59%","12930","9.46%","0.4170","0"
"184696","661","16.22%","35565","9.34%","0.0044","0"
"106733","627","6.49%","42155","11.08%","0.8036","1"
"119619","606","12.86%","21259","3.03%","0.2863","0"
"55240","839","6.08%","34040","11.34%","0.2803","0"
"65742","682","4.11%","15298","8.63%","0.4891","0"
"28026","740","7.96%","17762","5.50%","0.5667","0"
"71565","760","8.07%","22153","11.95%","0.0626","0"
"30515","875","6.56%","11785","3.15%","0.3587","0"
"185383","877","1.67%","28894","7.72%","0.3201","0"
"80305","625","16.23%","32702","5.23%","0.7145","0"
"142043","618","4.28%","40595","8.71%","0.0543","0"
"47700","640","0.12%","34993","8.81%","0.0429","0"
"74203","858","15.27%","43644","6.95%","0.5349","0"
"153266","620","9.06%","12081","7.48%","0.2567","0"
"39225","764","10.87%","15453","10.06%","0.1702","0"
"126064","666","1.68%","41390","9.83%","0.0365","0"
"155759","774","12.62%","31787","6.04%","0.0185","0"
"103811","782","12.78%","30958","8.53%","0.8682","1"
"177415","825","16.12%","13653","3.61%","0.0707","0"
"145907","897","7.60%","30737","3.76%","0.6636","1"
"139889","809","14.18%","31537","11.92%","0.2467","0"
"115295","868","2.85%","34144","11.39%","0.7115","0"
"160285","626","6.63%","28937","9.07%","0.6799","0"
"80103","890","10.88%","10736","7.04%","0.3098","0"
"151863","875","6.68%","45784","7.36%","0.5941","0"
"195127","858","3.98%","45188","10.24%","0.3400","0"
"190283","603","12.98%","5038","6.36%","0.7673","1"
"47085","715","1.97%","29745","7.48%","0.9205","0"
"30614","697","9.58%","7460","10.95%","0.7398","1"
"91200","845","8.53%","23439","3.06%","0.0407","0"
"122804","652","3.58%","26435","9.79%","0.9580","1"
"196675","671","3.38%","12673","10.71%","0.1655","0"
"52203","659","0.82%","20516","10.38%","0.4865","0"
"81006","760","5.31%","6185","7.86%","0.4225","0"
"134639","638","12.41%","43635","8.62%","0.7091","1"
"20281","635","7.22%","21406","5.53%","0.3509","0"
"150893","641","13.38%","9369","5.04%","0.1355","0"
"81605","647","0.92%","30958","6.74%","0.8007","0"
"35350","663","3.86%","40271","4.09%","0.5022","1"
"63059","711","15.17%","48692","3.34%","0.4101","0"
"169973","619","15.76%","7547","11.29%","0.4085","0"
"173903","686","6.55%","26471","6.36%","0.9354","1"
"188017","870","0.82%","30850","9.98%","0.7446","1"
"57543","789","2.53%","14736","7.23%","0.3366","0"
"67584","635","4.10%","27896","3.30%","0.7944","0"
"170872","881","4.59%","49130","3.07%","0.9874","0"
"171813","860","12.83%","11088","8.86%","0.6489","1"
"16262","641","9.23%","48678","8.02%","0.2359","0"
"199433","705","11.36%","17434","5.17%","0.1103","0"
"186512","825","1.09%","25658","5.73%","0.1289","0"
"23536","799","16.42%","42237","8.99%","0.6613","1"
"164651","727","0.45%","22688","5.05%","0.7690","1"
"10251","816","12.74%","49416","5.65%","0.0177","0"
"40391","789","12.47%","41231","9.76%","0.1091","0"
"78132","886","9.89%","36618","7.51%","0.8513","1"
"145364","838","5.35%","29715","11.90%","0.1337","0"
"89410","816","10.45%","38615","4.70%","0.2062","0"
"51659","654","11.13%","31404","11.20%","0.2163","0"
"59716","602","6.11%","43921","3.88%","0.0400","0"
"10892","815","16.52%","21775","8.76%","0.8906","0"
"32896","819","14.09%","33227","2.69%","0.9708","0"
"146340","851","14.54%","45279","10.66%","0.4996","0"
"194509","670","6.56%","11433","3.97%","0.3445","0"
"12959","849","15.93%","24259","5.45%","0.8753","1"
"24312","609","12.69%","12988","6.58%","0.9460","0"
"72634","658","13.09%","46571","3.17%","0.8200","1"
"75330","675","0.41%","36503","9.06%","0.2479","0"
"194867","689","2.30%","17947","2.03%","0.1613","0"
"121244","669","10.48%","28318","4.36%","0.8329","1"
"180757","672","9.58%","13688","11.33%","0.2820","0"
"74128","710","4.72%","35988","6.19%","0.2644","0"
"46450","755","11.82%","49274","6.32%","0.5375","1"
"160613","832","4.30%","24316","8.51%","0.0568","0"
"126610","667","4.97%","49505","6.14%","0.8681","1"
